"","X","word","n","sentiment"
"1",15,"heaven",255,"positive"
"2",17,"faith",245,"positive"
"3",29,"dead",187,"negative"
"4",31,"holy",181,"positive"
"5",32,"love",179,"positive"
"6",33,"glory",177,"positive"
"7",50,"death",138,"negative"
"8",57,"evil",132,"negative"
"9",59,"grace",131,"positive"
"10",70,"sin",112,"negative"
"11",72,"peace",111,"positive"
"12",84,"angel",97,"positive"
"13",85,"righteousness",97,"positive"
"14",103,"fear",84,"negative"
"15",104,"fell",84,"negative"
"16",122,"master",72,"positive"
"17",145,"suffer",65,"negative"
"18",148,"beloved",64,"positive"
"19",150,"joy",63,"positive"
"20",155,"devil",61,"negative"
"21",170,"mercy",59,"positive"
"22",184,"wise",56,"positive"
"23",189,"faithful",54,"positive"
"24",195,"worthy",54,"positive"
"25",197,"blind",53,"negative"
"26",199,"wisdom",53,"positive"
"27",205,"darkness",51,"negative"
"28",211,"sick",50,"negative"
"29",218,"die",48,"negative"
"30",220,"kill",47,"negative"
"31",222,"wrath",47,"negative"
"32",231,"promise",45,"positive"
"33",232,"rejoice",45,"positive"
"34",241,"prison",43,"negative"
"35",242,"righteous",43,"positive"
"36",247,"loved",42,"positive"
"37",249,"perfect",42,"positive"
"38",250,"ready",42,"positive"
"39",254,"fall",40,"negative"
"40",257,"rich",40,"positive"
"41",258,"woe",40,"negative"
"42",271,"suffered",38,"negative"
"43",272,"wilt",38,"negative"
"44",277,"mighty",37,"positive"
"45",282,"fast",36,"positive"
"46",284,"reward",36,"positive"
"47",286,"vain",36,"negative"
"48",287,"afraid",35,"negative"
"49",290,"died",35,"negative"
"50",293,"poor",35,"negative"
"51",298,"killed",34,"negative"
"52",300,"patience",34,"positive"
"53",306,"destroy",33,"negative"
"54",311,"loud",33,"negative"
"55",319,"false",32,"negative"
"56",321,"free",32,"positive"
"57",324,"salute",32,"positive"
"58",329,"unclean",32,"negative"
"59",344,"beseech",30,"negative"
"60",349,"lawful",30,"positive"
"61",350,"led",30,"positive"
"62",351,"perish",30,"negative"
"63",356,"weak",30,"negative"
"64",380,"strong",28,"positive"
"65",386,"spiritual",27,"positive"
"66",389,"trust",27,"positive"
"67",392,"ashamed",26,"negative"
"68",395,"everlasting",26,"positive"
"69",396,"gold",26,"positive"
"70",402,"pleased",26,"positive"
"71",403,"praise",26,"positive"
"72",410,"broken",25,"negative"
"73",411,"exceeding",25,"positive"
"74",424,"comfort",24,"positive"
"75",428,"forbid",24,"negative"
"76",433,"lie",24,"negative"
"77",443,"wicked",24,"negative"
"78",453,"heavenly",23,"positive"
"79",454,"hell",23,"negative"
"80",456,"miracles",23,"positive"
"81",467,"troubled",23,"negative"
"82",468,"wrought",23,"negative"
"83",481,"mystery",22,"negative"
"84",485,"pure",22,"positive"
"85",493,"compassion",21,"positive"
"86",496,"glad",21,"positive"
"87",498,"marvelled",21,"positive"
"88",515,"confidence",20,"positive"
"89",516,"covenant",20,"positive"
"90",523,"astonished",19,"positive"
"91",529,"clean",19,"positive"
"92",530,"cloud",19,"negative"
"93",533,"deny",19,"negative"
"94",534,"enemies",19,"negative"
"95",539,"heal",19,"positive"
"96",543,"lose",19,"negative"
"97",553,"abound",18,"positive"
"98",569,"liberty",18,"positive"
"99",574,"offend",18,"negative"
"100",576,"pleasure",18,"positive"
"101",582,"betray",17,"negative"
"102",587,"condemned",17,"negative"
"103",588,"confess",17,"negative"
"104",590,"fallen",17,"negative"
"105",591,"foolish",17,"negative"
"106",592,"gain",17,"positive"
"107",593,"glorify",17,"positive"
"108",594,"hypocrites",17,"negative"
"109",602,"precious",17,"positive"
"110",615,"trouble",17,"negative"
"111",618,"weep",17,"negative"
"112",620,"wonders",17,"positive"
"113",621,"amazed",16,"positive"
"114",622,"beware",16,"negative"
"115",629,"corrupt",16,"negative"
"116",632,"denied",16,"negative"
"117",634,"exhort",16,"negative"
"118",639,"hate",16,"negative"
"119",643,"iniquity",16,"negative"
"120",644,"lost",16,"negative"
"121",647,"offence",16,"negative"
"122",651,"shame",16,"negative"
"123",653,"sorrow",16,"negative"
"124",660,"treasure",16,"positive"
"125",666,"accuse",15,"negative"
"126",668,"bondage",15,"negative"
"127",675,"deceive",15,"negative"
"128",679,"dumb",15,"negative"
"129",682,"flee",15,"negative"
"130",687,"golden",15,"positive"
"131",692,"loose",15,"negative"
"132",709,"temptation",15,"negative"
"133",718,"abundance",14,"positive"
"134",720,"affliction",14,"negative"
"135",732,"exalted",14,"positive"
"136",735,"hurt",14,"negative"
"137",736,"ignorant",14,"negative"
"138",740,"masters",14,"positive"
"139",746,"promised",14,"positive"
"140",765,"worse",14,"negative"
"141",770,"blessing",13,"positive"
"142",772,"burned",13,"negative"
"143",775,"corruption",13,"negative"
"144",779,"despise",13,"negative"
"145",785,"glorious",13,"positive"
"146",787,"hated",13,"negative"
"147",792,"lead",13,"positive"
"148",799,"openly",13,"positive"
"149",805,"promises",13,"positive"
"150",807,"rejoicing",13,"positive"
"151",815,"smoke",13,"negative"
"152",823,"wrong",13,"negative"
"153",831,"blameless",12,"positive"
"154",832,"blasphemy",12,"negative"
"155",837,"condemn",12,"negative"
"156",838,"condemnation",12,"negative"
"157",840,"curse",12,"negative"
"158",842,"desert",12,"negative"
"159",843,"desiring",12,"positive"
"160",844,"destruction",12,"negative"
"161",848,"fault",12,"negative"
"162",870,"reasoned",12,"positive"
"163",871,"rebuke",12,"negative"
"164",880,"sober",12,"negative"
"165",882,"talents",12,"positive"
"166",889,"unjust",12,"negative"
"167",906,"damnation",11,"negative"
"168",908,"diligently",11,"positive"
"169",909,"disobedient",11,"negative"
"170",911,"enemy",11,"negative"
"171",913,"exceedingly",11,"positive"
"172",927,"lying",11,"negative"
"173",938,"prisoner",11,"negative"
"174",940,"redemption",11,"positive"
"175",942,"respect",11,"positive"
"176",943,"revelation",11,"positive"
"177",949,"sorrowful",11,"negative"
"178",951,"steal",11,"negative"
"179",952,"strange",11,"negative"
"180",953,"subjection",11,"negative"
"181",955,"thirst",11,"negative"
"182",957,"torment",11,"negative"
"183",970,"abundant",10,"positive"
"184",972,"accomplished",10,"positive"
"185",979,"bless",10,"positive"
"186",984,"break",10,"negative"
"187",988,"doubt",10,"negative"
"188",990,"envy",10,"positive"
"189",995,"filthy",10,"negative"
"190",996,"fine",10,"positive"
"191",999,"hail",10,"positive"
"192",1008,"lame",10,"negative"
"193",1011,"marvel",10,"positive"
"194",1014,"mocked",10,"negative"
"195",1028,"rejected",10,"negative"
"196",1029,"remission",10,"positive"
"197",1034,"sore",10,"negative"
"198",1038,"strife",10,"negative"
"199",1045,"accusation",9,"negative"
"200",1055,"burning",9,"negative"
"201",1061,"cry",9,"negative"
"202",1064,"defile",9,"negative"
"203",1065,"devout",9,"positive"
"204",1066,"diligence",9,"positive"
"205",1072,"excellent",9,"positive"
"206",1074,"faint",9,"negative"
"207",1077,"fool",9,"negative"
"208",1082,"goodness",9,"positive"
"209",1084,"hard",9,"negative"
"210",1088,"impossible",9,"negative"
"211",1089,"indignation",9,"negative"
"212",1093,"miracle",9,"positive"
"213",1098,"persecute",9,"negative"
"214",1099,"persecution",9,"negative"
"215",1104,"provoke",9,"negative"
"216",1123,"tempt",9,"positive"
"217",1127,"trumpet",9,"positive"
"218",1128,"unknown",9,"negative"
"219",1132,"wickedness",9,"negative"
"220",1139,"asunder",8,"negative"
"221",1148,"brimstone",8,"negative"
"222",1149,"burn",8,"negative"
"223",1153,"cheer",8,"positive"
"224",1156,"cold",8,"negative"
"225",1158,"covetous",8,"negative"
"226",1160,"darkened",8,"negative"
"227",1165,"drunken",8,"negative"
"228",1166,"earnest",8,"positive"
"229",1167,"earnestly",8,"positive"
"230",1173,"fame",8,"positive"
"231",1176,"fever",8,"negative"
"232",1183,"gained",8,"positive"
"233",1184,"gladly",8,"positive"
"234",1189,"grievous",8,"negative"
"235",1198,"liar",8,"negative"
"236",1207,"patient",8,"positive"
"237",1219,"sharp",8,"positive"
"238",1220,"shine",8,"positive"
"239",1229,"stranger",8,"negative"
"240",1238,"tormented",8,"negative"
"241",1250,"angry",7,"negative"
"242",1259,"burden",7,"negative"
"243",1260,"commend",7,"positive"
"244",1267,"danger",7,"negative"
"245",1270,"desolate",7,"negative"
"246",1271,"despised",7,"negative"
"247",1275,"dust",7,"negative"
"248",1276,"easier",7,"positive"
"249",1278,"error",7,"negative"
"250",1282,"fail",7,"negative"
"251",1283,"falling",7,"negative"
"252",1285,"fervent",7,"positive"
"253",1289,"foolishness",7,"negative"
"254",1291,"forsaken",7,"negative"
"255",1293,"gladness",7,"positive"
"256",1297,"guile",7,"negative"
"257",1301,"heathen",7,"negative"
"258",1305,"honest",7,"positive"
"259",1308,"humble",7,"positive"
"260",1309,"idle",7,"negative"
"261",1316,"kindness",7,"positive"
"262",1325,"merry",7,"positive"
"263",1340,"profane",7,"negative"
"264",1346,"reproach",7,"negative"
"265",1351,"scourge",7,"negative"
"266",1367,"sufficient",7,"positive"
"267",1375,"tempting",7,"positive"
"268",1378,"trusted",7,"positive"
"269",1380,"uproar",7,"negative"
"270",1381,"vengeance",7,"negative"
"271",1386,"virtue",7,"positive"
"272",1389,"weakness",7,"negative"
"273",1392,"wild",7,"negative"
"274",1398,"adversary",6,"negative"
"275",1407,"avenge",6,"negative"
"276",1412,"beckoned",6,"positive"
"277",1415,"bitter",6,"negative"
"278",1416,"blaspheme",6,"negative"
"279",1431,"confident",6,"positive"
"280",1434,"convenient",6,"positive"
"281",1445,"disobedience",6,"negative"
"282",1448,"drunk",6,"negative"
"283",1450,"effectual",6,"positive"
"284",1456,"err",6,"negative"
"285",1460,"favour",6,"positive"
"286",1461,"fearful",6,"negative"
"287",1474,"guilty",6,"negative"
"288",1475,"happy",6,"positive"
"289",1477,"harm",6,"negative"
"290",1478,"haste",6,"negative"
"291",1498,"loss",6,"negative"
"292",1501,"mad",6,"negative"
"293",1505,"malice",6,"negative"
"294",1506,"marvellous",6,"positive"
"295",1509,"merciful",6,"positive"
"296",1512,"mourn",6,"negative"
"297",1513,"murderer",6,"negative"
"298",1521,"perfectly",6,"positive"
"299",1527,"praising",6,"positive"
"300",1531,"proud",6,"positive"
"301",1540,"reverence",6,"positive"
"302",1541,"reviled",6,"negative"
"303",1548,"saint",6,"positive"
"304",1555,"shake",6,"negative"
"305",1558,"sincerity",6,"positive"
"306",1560,"snare",6,"negative"
"307",1566,"sweet",6,"positive"
"308",1572,"tolerable",6,"positive"
"309",1574,"transgression",6,"negative"
"310",1580,"unprofitable",6,"negative"
"311",1583,"victory",6,"positive"
"312",1586,"warned",6,"negative"
"313",1591,"willingly",6,"positive"
"314",1593,"wound",6,"negative"
"315",1596,"zeal",6,"positive"
"316",1597,"zealous",6,"negative"
"317",1602,"affection",5,"positive"
"318",1604,"anger",5,"negative"
"319",1612,"assurance",5,"positive"
"320",1613,"astray",5,"negative"
"321",1619,"barren",5,"negative"
"322",1633,"brotherly",5,"positive"
"323",1653,"cursed",5,"negative"
"324",1655,"deaf",5,"negative"
"325",1658,"deceit",5,"negative"
"326",1661,"desirous",5,"positive"
"327",1662,"desolation",5,"negative"
"328",1669,"disputed",5,"negative"
"329",1671,"distress",5,"negative"
"330",1676,"dying",5,"negative"
"331",1680,"enmity",5,"negative"
"332",1689,"fair",5,"positive"
"333",1704,"gentle",5,"positive"
"334",1715,"hardened",5,"negative"
"335",1718,"hinder",5,"negative"
"336",1723,"hypocrisy",5,"negative"
"337",1724,"idol",5,"positive"
"338",1726,"ignorance",5,"negative"
"339",1728,"incense",5,"negative"
"340",1732,"invisible",5,"negative"
"341",1733,"issue",5,"negative"
"342",1744,"lack",5,"negative"
"343",1745,"lacked",5,"negative"
"344",1767,"murder",5,"negative"
"345",1785,"perverse",5,"negative"
"346",1808,"refreshed",5,"positive"
"347",1813,"restored",5,"positive"
"348",1830,"sinful",5,"negative"
"349",1832,"slaughter",5,"negative"
"350",1838,"spoil",5,"negative"
"351",1846,"suffering",5,"negative"
"352",1852,"tempest",5,"negative"
"353",1867,"vehemently",5,"negative"
"354",1888,"abomination",4,"negative"
"355",1890,"accursed",4,"negative"
"356",1914,"beautiful",4,"positive"
"357",1918,"bitterness",4,"negative"
"358",1923,"breaking",4,"negative"
"359",1924,"bright",4,"positive"
"360",1927,"burdensome",4,"negative"
"361",1958,"dark",4,"negative"
"362",1959,"deadly",4,"negative"
"363",1960,"debt",4,"negative"
"364",1965,"denying",4,"negative"
"365",1969,"diligent",4,"positive"
"366",1973,"displeased",4,"negative"
"367",1974,"divine",4,"positive"
"368",1995,"faithless",4,"negative"
"369",1996,"falsely",4,"negative"
"370",1997,"famine",4,"negative"
"371",2002,"fierce",4,"negative"
"372",2010,"forbidding",4,"negative"
"373",2022,"goodly",4,"positive"
"374",2040,"hot",4,"positive"
"375",2042,"humility",4,"positive"
"376",2044,"impotent",4,"negative"
"377",2051,"jealousy",4,"negative"
"378",2059,"knock",4,"negative"
"379",2067,"liars",4,"negative"
"380",2077,"majesty",4,"positive"
"381",2085,"mightily",4,"positive"
"382",2091,"neglect",4,"negative"
"383",2093,"noble",4,"positive"
"384",2101,"patiently",4,"positive"
"385",2102,"perfection",4,"positive"
"386",2105,"plague",4,"negative"
"387",2106,"pleasing",4,"positive"
"388",2120,"prudent",4,"positive"
"389",2125,"purify",4,"positive"
"390",2130,"quiet",4,"positive"
"391",2135,"refuse",4,"negative"
"392",2136,"refused",4,"negative"
"393",2139,"reputation",4,"positive"
"394",2147,"safe",4,"positive"
"395",2160,"sickness",4,"negative"
"396",2166,"slow",4,"negative"
"397",2178,"suck",4,"negative"
"398",2184,"talent",4,"positive"
"399",2188,"tender",4,"positive"
"400",2199,"top",4,"positive"
"401",2212,"unruly",4,"negative"
"402",2220,"whore",4,"negative"
"403",2233,"abominable",3,"negative"
"404",2238,"admonish",3,"negative"
"405",2239,"admonition",3,"negative"
"406",2242,"advantage",3,"positive"
"407",2243,"affirm",3,"positive"
"408",2251,"anguish",3,"negative"
"409",2266,"bad",3,"negative"
"410",2268,"barbarian",3,"negative"
"411",2275,"benefit",3,"positive"
"412",2297,"calm",3,"positive"
"413",2311,"chaste",3,"positive"
"414",2322,"comely",3,"positive"
"415",2333,"confounded",3,"negative"
"416",2334,"confusion",3,"negative"
"417",2337,"contention",3,"negative"
"418",2341,"corrupted",3,"negative"
"419",2344,"creeping",3,"negative"
"420",2349,"damned",3,"negative"
"421",2354,"deceitfulness",3,"negative"
"422",2355,"deceivers",3,"negative"
"423",2365,"destitute",3,"negative"
"424",2369,"disorderly",3,"negative"
"425",2371,"dissension",3,"negative"
"426",2377,"doubtless",3,"positive"
"427",2380,"dull",3,"negative"
"428",2382,"easy",3,"positive"
"429",2384,"edify",3,"positive"
"430",2390,"enjoy",3,"positive"
"431",2402,"exalt",3,"positive"
"432",2404,"excellency",3,"positive"
"433",2405,"excuse",3,"negative"
"434",2421,"fiery",3,"positive"
"435",2429,"foul",3,"negative"
"436",2449,"grief",3,"negative"
"437",2452,"hang",3,"negative"
"438",2453,"harden",3,"negative"
"439",2454,"harmless",3,"positive"
"440",2469,"hypocrite",3,"negative"
"441",2472,"insurrection",3,"negative"
"442",2489,"lacking",3,"negative"
"443",2499,"lively",3,"positive"
"444",2522,"mock",3,"negative"
"445",2523,"mocking",3,"negative"
"446",2538,"noise",3,"negative"
"447",2551,"overthrow",3,"negative"
"448",2553,"pain",3,"negative"
"449",2556,"paradise",3,"positive"
"450",2559,"peaceable",3,"positive"
"451",2565,"perplexed",3,"negative"
